,0
2007-01-01,0
2007-01-02,1
2007-01-03,2
2007-01-04,3
2007-01-05,4
2007-01-06,5
2007-01-07,6
2007-01-08,7
2007-01-09,8
2007-01-10,9
2007-01-11,10
2007-01-12,11
2007-01-13,12
2007-01-14,13
2007-01-15,14
2007-01-16,15
2007-01-17,16
2007-01-18,17
2007-01-19,18
2007-01-20,19
2007-01-21,20
2007-01-22,21
2007-01-23,22
2007-01-24,23
2007-01-25,24
2007-01-26,25
2007-01-27,26
2007-01-28,27
2007-01-29,28
2007-01-30,29
2007-01-31,30
2007-02-01,31
2007-02-02,32
2007-02-03,33
2007-02-04,34
2007-02-05,35
2007-02-06,36
2007-02-07,37
2007-02-08,38
2007-02-09,39
2007-02-10,40
2007-02-11,41
2007-02-12,42
2007-02-13,43
2007-02-14,44
2007-02-15,45
2007-02-16,46
2007-02-17,47
2007-02-18,48
2007-02-19,49
2007-02-20,50
2007-02-21,51
2007-02-22,52
2007-02-23,53
2007-02-24,54
2007-02-25,55
2007-02-26,56
2007-02-27,57
2007-02-28,58
2007-03-01,59
2007-03-02,60
2007-03-03,61
2007-03-04,62
2007-03-05,63
2007-03-06,64
2007-03-07,65
2007-03-08,66
2007-03-09,67
2007-03-10,68
2007-03-11,69
2007-03-12,70
2007-03-13,71
2007-03-14,72
2007-03-15,73
2007-03-16,74
2007-03-17,75
2007-03-18,76
2007-03-19,77
2007-03-20,78
2007-03-21,79
2007-03-22,80
2007-03-23,81
2007-03-24,82
2007-03-25,83
2007-03-26,84
2007-03-27,85
2007-03-28,86
2007-03-29,87
2007-03-30,88
2007-03-31,89
2007-04-01,90
2007-04-02,91
2007-04-03,92
2007-04-04,93
2007-04-05,94
2007-04-06,95
2007-04-07,96
2007-04-08,97
2007-04-09,98
2007-04-10,99
2007-04-11,100
2007-04-12,101
2007-04-13,102
2007-04-14,103
2007-04-15,104
2007-04-16,105
2007-04-17,106
2007-04-18,107
2007-04-19,108
2007-04-20,109
2007-04-21,110
2007-04-22,111
2007-04-23,112
2007-04-24,113
2007-04-25,114
2007-04-26,115
2007-04-27,116
2007-04-28,117
2007-04-29,118
2007-04-30,119
2007-05-01,120
2007-05-02,121
2007-05-03,122
2007-05-04,123
2007-05-05,124
2007-05-06,125
2007-05-07,126
2007-05-08,127
2007-05-09,128
2007-05-10,129
2007-05-11,130
2007-05-12,131
2007-05-13,132
2007-05-14,133
2007-05-15,134
2007-05-16,135
2007-05-17,136
2007-05-18,137
2007-05-19,138
2007-05-20,139
2007-05-21,140
2007-05-22,141
2007-05-23,142
2007-05-24,143
2007-05-25,144
2007-05-26,145
2007-05-27,146
2007-05-28,147
2007-05-29,148
2007-05-30,149
2007-05-31,150
2007-06-01,151
2007-06-02,152
2007-06-03,153
2007-06-04,154
2007-06-05,155
2007-06-06,156
2007-06-07,157
2007-06-08,158
2007-06-09,159
2007-06-10,160
2007-06-11,161
2007-06-12,162
2007-06-13,163
2007-06-14,164
2007-06-15,165
2007-06-16,166
2007-06-17,167
2007-06-18,168
2007-06-19,169
2007-06-20,170
2007-06-21,171
2007-06-22,172
2007-06-23,173
2007-06-24,174
2007-06-25,175
2007-06-26,176
2007-06-27,177
2007-06-28,178
2007-06-29,179
2007-06-30,180
2007-07-01,181
2007-07-02,182
2007-07-03,183
2007-07-04,184
2007-07-05,185
2007-07-06,186
2007-07-07,187
2007-07-08,188
2007-07-09,189
2007-07-10,190
2007-07-11,191
2007-07-12,192
2007-07-13,193
2007-07-14,194
2007-07-15,195
2007-07-16,196
2007-07-17,197
2007-07-18,198
2007-07-19,199
2007-07-20,200
2007-07-21,201
2007-07-22,202
2007-07-23,203
2007-07-24,204
2007-07-25,205
2007-07-26,206
2007-07-27,207
2007-07-28,208
2007-07-29,209
2007-07-30,210
2007-07-31,211
2007-08-01,212
2007-08-02,213
2007-08-03,214
2007-08-04,215
2007-08-05,216
2007-08-06,217
2007-08-07,218
2007-08-08,219
2007-08-09,220
2007-08-10,221
2007-08-11,222
2007-08-12,223
2007-08-13,224
2007-08-14,225
2007-08-15,226
2007-08-16,227
2007-08-17,228
2007-08-18,229
2007-08-19,230
2007-08-20,231
2007-08-21,232
2007-08-22,233
2007-08-23,234
2007-08-24,235
2007-08-25,236
2007-08-26,237
2007-08-27,238
2007-08-28,239
2007-08-29,240
2007-08-30,241
2007-08-31,242
2007-09-01,243
2007-09-02,244
2007-09-03,245
2007-09-04,246
2007-09-05,247
2007-09-06,248
2007-09-07,249
2007-09-08,250
2007-09-09,251
2007-09-10,252
2007-09-11,253
2007-09-12,254
2007-09-13,255
2007-09-14,256
2007-09-15,257
2007-09-16,258
2007-09-17,259
2007-09-18,260
2007-09-19,261
2007-09-20,262
2007-09-21,263
2007-09-22,264
2007-09-23,265
2007-09-24,266
2007-09-25,267
2007-09-26,268
2007-09-27,269
2007-09-28,270
2007-09-29,271
2007-09-30,272
2007-10-01,273
2007-10-02,274
2007-10-03,275
2007-10-04,276
2007-10-05,277
2007-10-06,278
2007-10-07,279
2007-10-08,280
2007-10-09,281
2007-10-10,282
2007-10-11,283
2007-10-12,284
2007-10-13,285
2007-10-14,286
2007-10-15,287
2007-10-16,288
2007-10-17,289
2007-10-18,290
2007-10-19,291
2007-10-20,292
2007-10-21,293
2007-10-22,294
2007-10-23,295
2007-10-24,296
2007-10-25,297
2007-10-26,298
2007-10-27,299
2007-10-28,300
2007-10-29,301
2007-10-30,302
2007-10-31,303
2007-11-01,304
2007-11-02,305
2007-11-03,306
2007-11-04,307
2007-11-05,308
2007-11-06,309
2007-11-07,310
2007-11-08,311
2007-11-09,312
2007-11-10,313
2007-11-11,314
2007-11-12,315
2007-11-13,316
2007-11-14,317
2007-11-15,318
2007-11-16,319
2007-11-17,320
2007-11-18,321
2007-11-19,322
2007-11-20,323
2007-11-21,324
2007-11-22,325
2007-11-23,326
2007-11-24,327
2007-11-25,328
2007-11-26,329
2007-11-27,330
2007-11-28,331
2007-11-29,332
2007-11-30,333
2007-12-01,334
2007-12-02,335
2007-12-03,336
2007-12-04,337
2007-12-05,338
2007-12-06,339
2007-12-07,340
2007-12-08,341
2007-12-09,342
2007-12-10,343
2007-12-11,344
2007-12-12,345
2007-12-13,346
2007-12-14,347
2007-12-15,348
2007-12-16,349
2007-12-17,350
2007-12-18,351
2007-12-19,352
2007-12-20,353
2007-12-21,354
2007-12-22,355
2007-12-23,356
2007-12-24,357
2007-12-25,358
2007-12-26,359
2007-12-27,360
2007-12-28,361
2007-12-29,362
2007-12-30,363
2007-12-31,364
2008-01-01,365
2008-01-02,366
2008-01-03,367
2008-01-04,368
2008-01-05,369
2008-01-06,370
2008-01-07,371
2008-01-08,372
2008-01-09,373
2008-01-10,374
2008-01-11,375
2008-01-12,376
2008-01-13,377
2008-01-14,378
2008-01-15,379
2008-01-16,380
2008-01-17,381
2008-01-18,382
2008-01-19,383
2008-01-20,384
2008-01-21,385
2008-01-22,386
2008-01-23,387
2008-01-24,388
2008-01-25,389
2008-01-26,390
2008-01-27,391
2008-01-28,392
2008-01-29,393
2008-01-30,394
2008-01-31,395
2008-02-01,396
2008-02-02,397
2008-02-03,398
2008-02-04,399
2008-02-05,400
2008-02-06,401
2008-02-07,402
2008-02-08,403
2008-02-09,404
2008-02-10,405
2008-02-11,406
2008-02-12,407
2008-02-13,408
2008-02-14,409
2008-02-15,410
2008-02-16,411
2008-02-17,412
2008-02-18,413
2008-02-19,414
2008-02-20,415
2008-02-21,416
2008-02-22,417
2008-02-23,418
2008-02-24,419
2008-02-25,420
2008-02-26,421
2008-02-27,422
2008-02-28,423
2008-02-29,424
2008-03-01,425
2008-03-02,426
2008-03-03,427
2008-03-04,428
2008-03-05,429
2008-03-06,430
2008-03-07,431
2008-03-08,432
2008-03-09,433
2008-03-10,434
2008-03-11,435
2008-03-12,436
2008-03-13,437
2008-03-14,438
2008-03-15,439
2008-03-16,440
2008-03-17,441
2008-03-18,442
2008-03-19,443
2008-03-20,444
2008-03-21,445
2008-03-22,446
2008-03-23,447
2008-03-24,448
2008-03-25,449
2008-03-26,450
2008-03-27,451
2008-03-28,452
2008-03-29,453
2008-03-30,454
2008-03-31,455
2008-04-01,456
2008-04-02,457
2008-04-03,458
2008-04-04,459
2008-04-05,460
2008-04-06,461
2008-04-07,462
2008-04-08,463
2008-04-09,464
2008-04-10,465
2008-04-11,466
2008-04-12,467
2008-04-13,468
2008-04-14,469
2008-04-15,470
2008-04-16,471
2008-04-17,472
2008-04-18,473
2008-04-19,474
2008-04-20,475
2008-04-21,476
2008-04-22,477
2008-04-23,478
2008-04-24,479
2008-04-25,480
2008-04-26,481
2008-04-27,482
2008-04-28,483
2008-04-29,484
2008-04-30,485
2008-05-01,486
2008-05-02,487
2008-05-03,488
2008-05-04,489
2008-05-05,490
2008-05-06,491
2008-05-07,492
2008-05-08,493
2008-05-09,494
2008-05-10,495
2008-05-11,496
2008-05-12,497
2008-05-13,498
2008-05-14,499
2008-05-15,500
2008-05-16,501
2008-05-17,502
2008-05-18,503
2008-05-19,504
2008-05-20,505
2008-05-21,506
2008-05-22,507
2008-05-23,508
2008-05-24,509
2008-05-25,510
2008-05-26,511
2008-05-27,512
2008-05-28,513
2008-05-29,514
2008-05-30,515
2008-05-31,516
2008-06-01,517
2008-06-02,518
2008-06-03,519
2008-06-04,520
2008-06-05,521
2008-06-06,522
2008-06-07,523
2008-06-08,524
2008-06-09,525
2008-06-10,526
2008-06-11,527
2008-06-12,528
2008-06-13,529
2008-06-14,530
2008-06-15,531
2008-06-16,532
2008-06-17,533
2008-06-18,534
2008-06-19,535
2008-06-20,536
2008-06-21,537
2008-06-22,538
2008-06-23,539
2008-06-24,540
2008-06-25,541
2008-06-26,542
2008-06-27,543
2008-06-28,544
2008-06-29,545
2008-06-30,546
2008-07-01,547
2008-07-02,548
2008-07-03,549
2008-07-04,550
2008-07-05,551
2008-07-06,552
2008-07-07,553
2008-07-08,554
2008-07-09,555
2008-07-10,556
2008-07-11,557
2008-07-12,558
2008-07-13,559
2008-07-14,560
2008-07-15,561
2008-07-16,562
2008-07-17,563
2008-07-18,564
2008-07-19,565
2008-07-20,566
2008-07-21,567
2008-07-22,568
2008-07-23,569
2008-07-24,570
2008-07-25,571
